序号,井号,层位,取样日期,分析日期,取样条件,,,,,物理性质,,,,,阳离子(mg/L),,,,,,,,,阴离子(mg/L),,,,,,,,"总矿化度
(mg/L)",微量元素(mg/L),,,,Na+            —          Cl-,Na+-Cl          —         2SO42-,SO42-×102—                   Cl-,Cl--Na+   — 2Mg2+,Cl--Na+                         —             Mg2+,水型,相对密度,pH,,,,,,,,,,,,,,,
1325,SY116,MK组,2022-03-18 00:00:00,2022年3月22日,分离器,4640.00-4680.00,18/100,36.29,23.78,无色,硫化氢味,0,透明,无,50.9551,598.5106,3531.7574,2604.9606,0,8.1628,0,0,6794,11976.8296,118.878,0,/,0,22.2418,23.4206,12141.37,18935.37,/,35,20,107,0.0771312718684751,-125.716764423415,,1.43427865292154,,氯化钙,1.0157,4.954,,,,,,,,,,,,,,,
1326,SY116,MK组,2022-03-27 00:00:00,2022年4月13日,分离器,4640.00-4680.00,18/100,36.21,19.62,无色,硫化氢味,0,透明,无,34.6162,289.8273,1848.2491,1136.2522,0,0,0,0,3309,5453.4619,147.6541,0,/,0,6.062,3.5318,5610.7098,8919.7098,/,28,10,121,0.0820290203102953,-45.8425332548655,,1.48929040345692,,氯化钙,1.0068,4.703,,,,,,,,,,,,,,,
1327,SY116,MK组,2022-04-14 00:00:00,2022年4月21日,分离器,4640.00-4680.00,18/100,35.95,28.98,灰色,硫化氢味,0,不透明,无,34.7926,281.5356,1559.875,945.5527,0,2.9863,0,0,2825,5450.9068,54.5073,0,/,0,10.5392,10.0429,5525.9962,8350.9962,/,26,11,71,0.0797195942262065,-124.436316305521,,1.79331295435991,,氯化钙,1.0053,7.908,,,,,,,,,,,,,,,
1328,SY116,MK组,2022-04-23 00:00:00,2022年4月27日,分离器,4640.00-4680.00,18/100,35.99,28.96,无色,硫化氢味,0,透明,无,40.1213,283.37,1555.3404,944.6362,0,3.1917,0,0,2827,4473.9081,120,0,/,0,15.4085,11.4751,4620.7917,7447.7917,/,11,13,/,0.0977613811027117,-45.4820581996326,,1.44443093117644,,氯化钙,1.0053,4.838,,,,,,,,,,,,,,,
1329,SY116,MK组,2022-05-14 00:00:00,2022年5月19日,分离器,4640.00-4680.00,15/100,36.1,30.8,灰色,硫化氢味,0,不透明,无,141.8978,204.1799,894.7797,491.0889,0,0,0,0,1732,2981.6395,98.9133,0,/,0,2.8245,7.761,3091.1383,4823.1383,/,83,19,/,0.10569595585131,-36.4500829460471,,1.83541003954031,,氯化钙,1.0215,4.766,,,,,,,,,,,,,,,
1330,SY116,MK组,2022-05-19 00:00:00,2022年5月27日,分离器,4640.00-4680.00,15/100,36,30.36,白色,硫化氢味,0,不透明,无,8.6141,38.0983,151.4337,70.4191,0,0,0,0,269,453.4698,55.4444,0,/,0,9.2835,0,518.1977,787.1977,/,/,0,/,0.12967544437598,-9.62464683785123,,1.8944887435957,,氯化钙,1.0013,4.695,,,,,,,,,,,,,,,
1331,SY116,MK组,2022-05-28 00:00:00,2022年6月7日,分离器,4640.00-4680.00,15/100,35.88,30.23,白色,无气味,0,不透明,无,14.2432,16.2743,43.5283,6.0398,0,0,0,0,80,49.1721,182.2892,0,/,0,12.9281,2.118,246.5074,326.5074,/,/,3,/,0.51083903800874,-0.178411355124553,,1.34617301883219,,氯化钙,0.9984,4.612,,,,,,,,,,,,,,,
1332,SY116,MK组,2022-06-04 00:00:00,2022年6月13日,分离器,4640.00-4680.00,15/100,35.76,30.21,无色,硫化氢味,0,透明,无,68.0734,758.0506,2228.0939,1318.3553,0,1.4969,0,0,4374,9323.3297,64.4445,0,/,0,8.505,8.5501,9404.8293,13778.8293,/,10,24,/,0.125495360497562,-171.064615707225,,2.09051642355901,,氯化钙,1.0093,5.615,,,,,,,,,,,,,,,
1333,SY116,MK组,2022-06-11 00:00:00,2022年6月14日,分离器,4640.00-4680.00,15/100,35.7,30.18,无色,硫化氢味,0,透明,无,32.3481,378.7712,1414.9192,812.3219,0,1.0515,0,0,2639,4750.7837,224.7549,0,/,0,7.7654,4.4363,4987.7403,7626.7403,/,53,14,21,0.123058667782218,-25.0633727490919,,1.73364642633815,,氯化钙,1.005,5.121,,,,,,,,,,,,,,,
1334,SY116,MK组,2022-06-18 00:00:00,2022年6月28日,分离器,4640.00-4680.00,15/100,35.61,30.14,浅灰色,硫化氢味,0,半透明,无,38.7062,450.6023,1586.8206,950.4166,0,2.0048,0,0,3029,4983.3787,44.8466,0,/,0,11.1057,2.7113,5042.0423,8071.0423,/,28,12,/,0.139562914283,-129.278520582686,,1.52504230806877,,氯化钙,1.0068,5.356,,,,,,,,,,,,,,,
1335,SY116,MK组,2022-06-25 00:00:00,2022年6月28日,分离器,4640.00-4680.00,15/100,35.56,30.12,灰色,硫化氢味,0,不透明,无,36.5874,406.5711,1429.0055,821.5531,0,3.9816,0,0,2698,4674.3848,50.1523,0,/,0,23.6324,6.5296,4754.6991,7452.6991,/,24,24,34,0.13424946408944,-109.1036449405,,1.66507762314737,,氯化钙,1.006,5.005,,,,,,,,,,,,,,,
1336,SY116,MK组,2022-07-01 00:00:00,2022年7月6日,分离器,4640.00-4680.00,15/100-14/100,35.61,30.14,白色,硫化氢味,0,透明,无,28.6966,378.9128,1549.0321,773.1208,0,0,0,0,2729.7623,4582.1132,55.2904,0,/,0,7.4448,0,4644.8484,7374.6107,/,27,0,/,0.127636233335575,-97.7522101796087,,1.74770837937443,,氯化钙,1.0055,5.222,,,,,,,,,,,,,,,
1337,SY116,MK组,2022-07-07 00:00:00,2022年7月13日,分离器,4640.00-4680.00,15/100,35.44,30.05,灰色,硫化氢味,0,不透明,无,39.2392,398.7194,1383.7721,789.1719,0,6.1724,0,0,2617,4498.3933,30.5415,0,/,0,6.8438,5.2027,4540.9813,7157.9813,/,33,13,/,0.13680767443944,-171.904606867475,,1.66320688516754,,氯化钙,1.0058,5.202,,,,,,,,,,,,,,,
1338,SY116,MK组,2022-07-16 00:00:00,2022年7月25日,分离器,4640.00-4680.00,15/100,35.39,30.02,无色,硫化氢味,0,透明,无,39.3835,365.3659,1361.1454,780.1296,0,4.2707,0,0,2550,4743.5536,23.1347,0,/,0,6.6024,0,4773.2907,7323.2907,/,/,2,/,0.1188843579027,-244.278776223015,,1.81101838857498,,氯化钙,1.0048,5.2,,,,,,,,,,,,,,,
1339,SY116,MK组,2022-07-23 00:00:00,2022年7月27日,分离器,4640.00-4680.00,15/100,35.33,29.99,无色,硫化氢味,0,透明,无,37.7267,376.6116,1475.0536,848.1081,0,4.3024,0,0,2742,4667.2171,54,0,/,0,11.4948,0,4732.7119,7474.7119,/,37,0,30,0.124547841880187,-102.307988296931,,1.62851627287674,,氯化钙,1.0057,5.697,,,,,,,,,,,,,,,
1340,SY116,MK组,2022-07-28 00:00:00,2022年8月4日,分离器,4640.00-4680.00,15/100,35.29,29.97,浅灰色,硫化氢味,0,半透明,无,46.8714,427.1406,1438.0628,808.2497,0,0,0,0,2720,5352.2477,53.4134,0,/,0,2.6424,0,5408.3035,8128.3035,/,22,25,51,0.123178572328553,-118.798243506195,,1.96270351219859,,氯化钙,1.0056,5.511,,,,,,,,,,,,,,,
1341,SY116,MK组,2022-08-06 00:00:00,2022年8月11日,分离器,4640.00-4680.00,15/100,35.21,29.94,无色,硫化氢味,0,透明,无,27.5059,278.1011,1148.8641,698.9254,20.4978,3.0946,0,21.0966,2198.0855,5191.4145,0,0,/,0,5.2025,0,5196.617,7394.7025,/,65,14,40,0.0826832459966187,0,,2.30317586389222,,氯化钙,1.0052,5.033,,,,,,,,,,,,,,,
1342,SY116,MK组,2022-08-13 00:00:00,2022年8月22日,分离器,4640.00-4680.00,15/100,35.14,29.89,灰色,硫化氢味,0,不透明,无,28.0521,306.2677,1215.9243,741.2144,0,3.9371,0,0,2295,4491.6195,37.8871,0,/,0,3.5977,4.481,4537.5853,6832.5853,/,/,14,/,0.105244341591384,-143.426345327533,,1.83280582786127,,氯化钙,1.0047,5.824,,,,,,,,,,,,,,,
1343,SY116,MK组,2022-08-19 00:00:00,2022年8月24日,分离器,4640.00-4680.00,15/100,35.13,29.87,无色,硫化氢味,0,透明,无,27.7112,269.7691,1093.0007,668.8236,0,3.9119,0,0,2063,4394.3195,35.8966,0,/,0,4.0881,118.9094,4553.2136,6616.2136,/,/,13,/,0.0947547717694054,-149.836438993745,,2.01047732017189,,氯化钙,1.0045,5.599,,,,,,,,,,,,,,,
1344,SY116,MK组,2022-08-29 00:00:00,2022年9月8日,分离器,4640.00-4680.00,15/100,35.04,29.81,灰色,硫化氢味,0,不透明,无,86.5311,980.9174,868.2379,508.0745,0,4.5225,0,0,2448,4537,34.4567,0,/,0,5.5688,0,4577.0255,7025.0255,/,/,11,/,0.333706123563742,-118.624338548097,,2.0112223926069,,氯化钙,1.004,5.443,,,,,,,,,,,,,,,
1345,SY116,MK组,2022-09-02 00:00:00,2022年9月13日,分离器,4640.00-4680.00,15/100,35.01,29.8,灰色,硫化氢味,0,不透明,无,22.7663,245.4632,1029.496,631.8582,0,3.2476,0,0,1933,4217,55.1824,0,/,0,1.4103,0,4273.5927,6206.5927,/,/,12,/,0.0898428060335495,-94.0442628237014,,2.05330409925938,,氯化钙,1.0035,5.074,,,,,,,,,,,,,,,
1346,SY116,MK组,2022-09-09 00:00:00,2022年9月14日,分离器,4640.00-4680.00,15/100,34.96,29.74,黑色,硫化氢味,0,不透明,无,25.0795,263.8436,1090.962,667.0095,0,3.2681,0,0,2050,4223,52.3228,0,/,0,5.7536,24.1692,4305.2456,6355.2456,/,/,19,/,0.0964330714822555,-98.6059941220039,,1.93375870555321,,氯化钙,1.0038,5.139,,,,,,,,,,,,,,,
1347,SY116,MK组,2022-09-16 00:00:00,2022年10月11日,分离器,4640.00-4680.00,15/100-14/100,34.9,29.73,无色,硫化氢味,0,透明,无,28.9436,277.9192,1059.8524,640.5118,0,2.8995,0,0,2010,4232,86.5319,0,/,0,5.2471,0,4323.779,6333.779,/,/,13,/,0.101361588723597,-59.4247388317361,,2.00704169623179,,氯化钙,1.0035,5.607,,,,,,,,,,,,,,,
1348,SY116,MK组,2022-10-07 00:00:00,2022年10月11日,分离器,4640.00-4680.00,15/100,34.75,29.66,灰色,硫化氢味,0,半透明,无,25.8571,265,1041,627,0,4,0,0,1963,4190,30,0,/,0,5,0,4225,6188,/,/,15,/,0.0976185534917505,-170.41028781384,,2.03840057193588,,氯化钙,1.0033,5.436,,,,,,,,,,,,,,,
1349,SY116,MK组,2022-10-15 00:00:00,2022年10月26日,分离器,4640.00-4680.00,15/100,35.14,29.89,灰色,硫化氢味,0,半透明,无,32.6655,252.647,969.0303,597.114,0,2.1584,0,0,1854,3798.569,45.9194,0,/,0,3.5317,27.6331,3875.6532,5729.6532,/,/,13,/,0.102658435893599,-100.367818208139,,1.92962733725336,,氯化钙,1.0034,5.371,,,,,,,,,,,,,,,
1350,SY116,MK组,2022-10-22 00:00:00,2022年10月27日,分离器,4640.00-4680.00,15/100,34.6,29.61,无色,硫化氢味,0,透明,无,8.5812,174.2384,746.6729,448.5841,0,2.0093,0,0,1380,3367.4559,31.7766,0,/,0,2.8283,8.5051,3410.5659,4790.5659,/,/,9,/,0.0798624215416439,-131.843930541131,,2.33487535739302,,氯化钙,1.0031,5.325,,,,,,,,,,,,,,,
1351,SY116,MK组,2022-10-25 00:00:00,2022年11月8日,分离器,4640.00-4680.00,15/100,34.62,29.58,浅灰色,硫化氢味,0,半透明,无,24.5682,243.8985,876.6834,528.3951,0,4.2892,0,0,1678,3874.4295,39.2411,0,/,0,4.4841,6.1616,3924.3163,5602.3163,/,/,18,/,0.0971632165738713,-120.528213383907,,2.2377476978019,,氯化钙,1.003,5.262,,,,,,,,,,,,,,,
1352,SY116,MK组,2022-11-06 00:00:00,2022年11月11日,分离器,4640.00-4680.00,10/100,34.54,29.51,灰色,硫化氢味,0,半透明,无,25.32,213.6984,872.8186,532.4155,0,4.8732,0,0,1649,3374.846,16.5466,0,/,0,2.7389,0,3394.1315,5043.1315,/,/,7,/,0.0977344847091123,-248.824095993909,,1.93326114039355,,氯化钙,1.0027,5.29,,,,,,,,,,,,,,,
1353,SY116,MK组,2022-11-13 00:00:00,2022年11月23日,分离器,4640.00-4680.00,15/100,34.58,31.36,无色,硫化氢味,0,透明,无,27.7654,237.0981,906.6468,552.5192,0,5.1574,0,0,1729,3389.9135,101.4464,0,/,0,1.931,0,3493.2909,5222.2909,/,/,0,/,0.107954307106502,-40.3043537079438,,1.85004049994894,,氯化钙,1.003,5.382,,,,,,,,,,,,,,,
1354,SY116,MK组,2022-11-19 00:00:00,2022年11月25日,分离器,4640.00-4680.00,35/100,34.53,30.68,浅灰色,硫化氢味,0,半透明,无,19,131,459,271,0,5,0,0,885,1861,125,0,/,0,1,2.2674,1989.2674,2874.2674,/,/,8,/,0.108648926477116,-17.9431230863442,,2.06908707176478,,氯化钙,1.0006,5.177,,,,,,,,,,,,,,,
1355,SY116,MK组,2022-11-27 00:00:00,2022年12月5日,分离器,4640.00-4680.00,15/100,34.45,30.5,白色,硫化氢味,0,不透明,无,11.6762,103.5723,240.5661,145.4645,0,1.1418,0,0,502,1117.7085,19.8755,0,/,0,4.7261,0,1142.3101,1644.3101,/,/,5,/,0.143026194645796,-65.1614773982739,,2.22582991731555,,氯化钙,0.9998,5.012,,,,,,,,,,,,,,,
1356,SY116,MK组,2022-12-10 00:00:00,2022-12-29 00:00:00,分离器,4640.00-4680.00,15/100,34.32,30.41,无色,硫化氢味,0,透明,无,24.7192,250.1381,748.7191,454.901,0,2.9463,0,0,1481,2713.994,25.0518,0,/,0,0,2.774,2741.8198,4222.8198,/,/,6,/,0.142256290752749,-125.64360050018,,1.72982602314043,,氯化钙,1.0025,5.432,,,,,,,,,,,,,,,
1357,SY116,MK组,2022-12-18 00:00:00,2022-12-29 00:00:00,分离器,4640.00-4680.00,15/100,34.26,30.38,无色,硫化氢味,0,透明,无,24.6996,244.6255,739.9955,446.7332,0,2.9401,0,0,1459,2840.8315,47.7493,0,/,0,0,4.7155,2893.2963,4352.2963,/,/,7,/,0.132909727769615,-69.7518392747422,,1.86386499765489,,氯化钙,1.0024,5.453,,,,,,,,,,,,,,,
1358,SY116,MK组,2022-12-24 00:00:00,2023年1月3日,分离器,4640.00-4680.00,5/100,12.82,30.32,无色,硫化氢味,0,透明,无,23.5871,255.6062,758.4238,461.7089,0,1.4214,0,0,1501,3029.7741,13,0,/,0,0.3082,0,3043.0823,4544.0823,/,/,4,/,0.130215190975287,-274.088995393094,,1.92933087282389,,氯化钙,1.0029,5.395,,,,,,,,,,,,,,,
1359,SY116,MK组,2022-12-26 00:00:00,2023年1月9日,分离器,4640.00-4680.00,15/100,34.24,30.32,浅灰色,硫化氢味,0,半透明,无,32.6974,317.1459,780.1554,466.4463,0,3.74,0,0,1600,3319.2427,50.5974,0,/,0,2.0023,6.992,3378.8344,4978.8344,/,/,8,/,0.147475748662161,-75.6189137234253,,2.05067572903335,,氯化钙,1.003,6.069,,,,,,,,,,,,,,,
1458,SY201,MK组,2014-06-06 00:00:00,2014-06-12 00:00:00,分离器,4547.0~4608.5,50/100,61.76,1.43,乳白,怪味,淡,不透明,少量黑色沉淀,7.2474,44.7985,89.1121,64.6109,0,0,0,0,205.7689,253.1781,43.4232,0,421,0,0,1.4,719.0013,924.7702,/,0,0,0,0.299166883617728,-5.52499400430304,,0.928298938908341,,CaCl2,0.9988,5.976,,,,,,,,,,,,,,,
1459,SY201,MK组,2014-06-06 00:00:00,2014-06-26 00:00:00,分离器,4547.0~4608.5,/,61.73,1.39,乳白,H2S味,无,不透明,无,1.1927,16.0563,43.2352,35.143,1.0008,0,0,0,96.628,214.9233,10.0596,0,1153,0,0,0,1377.9829,1474.6109,/,0,7.5901,0,0.120360206736602,-25.4109288488927,,1.81845445642319,,CaCl2,0.9987,5.76,,,,,,,,,,,,,,,
1460,SY201,MK组,2014-06-10 00:00:00,2014-06-26 00:00:00,分离器,4547.0~4608.5,50/100,61.68,1.39,灰白,H2S味,淡,不透明,少量灰色沉淀,15.5289,142.0273,528.6771,442.1293,9.1836,0,0,0,1137.5462,1986.0399,55.1884,0,708,0,0,1.0171,2750.2454,3887.7916,/,30,6.8156,23,0.117495791886775,-42.9407707350815,,1.34001096038872,,CaCl2,1.003,6.173,,,,,,,,,,,,,,,
1461,SY201,MK组,2014-06-12 00:00:00,2014-06-26 00:00:00,分离器,4547.0~4608.5,/,61.67,1.4,乳白,H2S味,淡,不透明,少量灰色沉淀,20.7164,126.8609,561.3634,471.2342,9.1309,0,0,0,1189.3058,2313.0111,36.8585,0,336,0,0,0,2685.8696,3875.1754,/,22,87.0237,9,0.0928072836320516,-76.9754965033306,,1.50519706436206,,CaCl2,1.0013,6.083,,,,,,,,,,,,,,,
1462,SY201,MK组,2014-06-16 00:00:00,2014-07-03 00:00:00,/,4547.0~4608.5,/,/ , /,乳白,H2S味,淡,不透明,无,18.3689,47.2652,558.5712,479.0723,0,0,0,0,1103.2776,2051.4275,15.6568,0,301,0,0,0,2368.0843,3471.3619,/,20,0,18,0.0437125941180038,-169.416025780886,,1.38419234030343,,CaCl2,1.0012,6.918,,,,,,,,,,,,,,,
1463,SY201,MK组,2014-06-30 00:00:00,2014-07-07 00:00:00,分离器,4547.0~4608.5,/,62.35,1.39,乳白,H2S味,咸,不透明,无,5.012,15.167,74.9626,65.0929,0.7093,0,0,0,160.9438,325.769,11.4295,0,272,0,31.2542,0,640.4527,801.3965,/,0,3.3559,0,0.0858649531134449,-35.2294421817546,,1.54646247676922,,CaCl2,0.9993,6.272,,,,,,,,,,,,,,,
1464,SY201,MK组,2014-07-07 00:00:00,2014-07-14 00:00:00,分离器,4547.0~4608.5,/,60.24,1.42,乳白,H2S味,咸,不透明,无,6.395,73.5622,577.4689,516.1763,5.1006,1.476,0,0,1180.179,2061.1347,14.7585,0,191,0,0,0,2266.8932,3447.0722,/,11,0,29,0.0579111817705698,-177.897108287111,,1.2716074297945,,CaCl2,1.0014,6.539,,,,,,,,,,,,,,,
1465,SY201,MK组,2014-07-10 00:00:00,2014-07-18 00:00:00,分离器,4547.0~4608.5,60/100,1.44,60.02,灰黑,H2S味,淡,不透明,少量灰黑色沉淀,4.1199,57.0199,540.9503,475.0581,3.8758,0,0,0,1081.024,2002.0734,38.2592,0,177,0,54.3237,2.0348,2273.6911,3354.7151,288,11,0,24,0.0458320566426645,-67.5121310484133,,1.3592864347579,,CaCl2,1.0014,6.466,,,,,,,,,,,,,,,
1466,SY201,MK组,2014-07-14 00:00:00,2014-07-24 00:00:00,分离器,4547.0~4608.5,/,59.92,1.45,灰白,H2S味,淡,不透明,无,13.7159,38.9603,477.413,426.921,4.1734,0,0,0,961.1836,1787.0884,25.5057,0,202,0,49.4094,2.0853,2066.0888,3027.2724,/,11,0,39,0.0406355734749285,-90.8877356436804,,1.35748494393987,,CaCl2,1.0011,6.612,,,,,,,,,,,,,,,
1467,SY201,MK组,2014-08-13 00:00:00,2014-08-22 00:00:00,分离器,4547.0~4608.5,/,61.92,1.42,灰白,H2S味,咸,不透明,无,17.6256,102.0199,789.7497,667.2926,8.3804,0,0,0,1585.0682,2981.8945,20.9959,0,180,0,45.6,2.1215,3230.6119,4815.6801,/,0,8,0,0.06,-180.86,,1.42,,CaCl2,1.0024,6.4,,,,,,,,,,,,,,,
1468,SY201,MK组,2014-08-15 00:00:00,2014-08-22 00:00:00,分离器,4547.0~4608.5,42/100,61.99,1.44,灰白,H3S味,咸,不透明,无,14.2622,77.4714,643.5491,545.499,5.5761,0,0,0,1286.3578,2400.3857,21.8,0,177,0,40.3878,2.5668,2642.1403,3928.4981,337,0,7,0,0.06,-140.66,,1.41,,CaCl2,1.0017,6.305,,,,,,,,,,,,,,,
1469,SY201,MK组,2014-09-12 00:00:00,2014-09-26 00:00:00,分离器,4547.0~4608.5,/,59.11,1.39,灰白,H3S味,淡,不透明,无,13,7,389,341,0,0,0,0,750,1425,40,0,212,0,2,0,1679,2429,/,0,0,0,0.02,-47.4,,1.39,,CaCl2,1.0008,6.607,,,,,,,,,,,,,,,
1470,SY201,MK组,2014-09-16 00:00:00,2014-10-17 00:00:00,分离器,4547.0~4608.5,65/100,59.08,1.38,灰白,H2S味,咸,不透明,无,18,90,471,386,0,0,0,0,965,1509,18,0,538,0,32,0,2097,3062,306,8,0,10,0.1,-104.4,,1.19,,CaCl2,1.001,6.746,,,,,,,,,,,,,,,
1471,SY201,MK组,2014-10-08 00:00:00,2014-10-24 00:00:00,分离器,4547.0~4608.5,针69/100,58,0,灰白,无,咸,不透明,无,16,90,436,382,0,0,0,0,924,1524,23,0,177,0,20,0,1744,2668,/,0,0,0,0.1,-81.66,,1.21,,CaCl2,1.0009,6.4,,,,,,,,,,,,,,,
1472,SY201,MK组,2014-10-20 00:00:00,2014-10-30 00:00:00,分离器,4547.0~4608.5,/,57.88,1.35,灰白,无,微咸,不透明,无,5.9613,1.5035,386.6892,326.7132,23.642,0,0,0,744.5092,1393.1821,17.2166,0,198,0,0,0,1608.3987,2352.9079,/,0,0,0,0.01,-108.81,,1.43,,CaCl2,0.9997,6.602,,,,,,,,,,,,,,,
1473,SY201,MK组,2014-11-03 00:00:00,2014-11-14 00:00:00,分离器,4547.0~4608.5,69/100,57.7,1.43,灰白,H2S味,咸,半透明,无,37.5358,147.9499,1402.8511,1014.3618,27.3856,0,0,0,2630.0842,4896.1727,39.2217,0,315,0,55.384,2.842,5308.6204,7938.7046,227,18,9,11,0.05,-159.74,,1.54,,CaCl2,1.0046,6.816,,,,,,,,,,,,,,,
1474,SY201,MK组,2014-11-25 00:00:00,2014-12-26 00:00:00,分离器,4547.0~4608.5,/,57.13,1.29,灰绿,H2S味,咸,不透明,无,3.6383,52.302,501.9849,393.2341,57.8357,0,0,0,1008.995,1412.9396,7.1311,0,171,0,34.8553,0,1625.926,2634.921,/,/,0,/,0.06,-251.97,,1.14,,CaCl2,1.0004,6.384,,,,,,,,,,,,,,,
1475,SY201,MK组,2014-12-02 00:00:00,2014-12-26 00:00:00,分离器,4547.0~4608.5,68/100,57,1.31,灰绿,H2S味,咸,不透明,无,15.7768,53.8604,486.816,409.1679,13.4093,0,0,0,979.0304,1539.583,12.381,0,152,0,36.7074,0,1740.6714,2719.7018,320,/,0,/,0.06,-157.49,,1.19,,CaCl2,1.0004,6.232,,,,,,,,,,,,,,,
1476,SY201,MK组,2014-12-27 00:00:00,2015-01-15 00:00:00,分离器,4547.0~4608.5,/,56.55,1.28,灰白,H2S味,咸,半透明,无,14.7762,45.0568,463.0568,350.0767,0,0,0,57.6415,930.608,1708.2878,17.6483,0,178,0,3.9423,0,1907.8784,2838.4864,/,/,13,/,0.05,-124.52,,1.57,,CaCl2,1.0006,6.182,,,,,,,,,,,,,,,
1477,SY201,MK组,2015-01-26 00:00:00,2015-02-05 00:00:00,分离器,4547.0~4608.5,/,55.85,1.3,灰白,H2S味,微咸,半透明,无,2,8,240.7654,231.3603,0,0,0,0,482.1257,1168.1245,61.6829,0,255,0,5.7678,2.7071,1493.2823,1975.408,/,/,0,/,0.01,-25.3,,1.69,,CaCl2,1.0005,6.142,,,,,,,,,,,,,,,
1478,SY201,MK组,2015-03-09 00:00:00,2015-03-23 00:00:00,分离器,4547.0~4608.5,/,55.57,1.29,灰白,硫化氢,咸,半透明,无,19.6889,18.5705,346.4292,301.47,3.281,0,0,0,689.4396,1192.0816,15.5082,0,178,0,0,0,1385.5898,2075.0294,/,37,11.5969,24,0.0390787933304026,-99.8723464914608,,1.28440667716429,,CaCl2,1.0005,6.373,,,,,,,,,,,,,,,
1479,SY201,MK组,2015-04-19 00:00:00,2015-04-24 00:00:00,分离器,4547.0~4608.5,/,55.08,1.34,灰白,硫化氢,咸,半透明,无,0,24.6997,238.3498,202.1987,0,0,0,0,465.2482,904.5588,9.0131,0,202,0,0,0,1115.5719,1580.8201,/,0,0,0,0.0421459058272386,-129.979498698373,,1.44847397599281,,CaCl2,1.0003,6.336,,,,,,,,,,,,,,,
1480,SY201,MK组,2015-05-26 00:00:00,2015-06-28 00:00:00,分离器,4547.0~4608.5,/,54.34,1.3,灰白,硫化氢,咸,半透明,无,0,6,59,43,0,0,0,0,108,171,3,0,137,0,5,0,316,424,/,0,0,0,0.05,-70.03,,1.27,,CaCl2,0.9995,6.624,,,,,,,,,,,,,,,
1481,SY201,MK组,2015-06-14 00:00:00,2015-06-29 00:00:00,分离器,4547.0~4608.5,/,57.2,1.33,灰白,硫化氢,无,不透明,无,3,2,20,8,0,0,0,0,33,44,7,0,877,0,22,0,950,983,/,0,0,0,0.14,-6.88,,1.64,,CaCl2,0.9995,6.659,,,,,,,,,,,,,,,
1482,SY201,MK组,2015-07-21 00:00:00,2015-07-31 00:00:00,分离器,4547.00-4608.50,0,54.91,1.37,灰白,无,无,半透明,无,14.0324,102.9203,160.4083,114.5706,0,0,0,7.9746,399.9062,619.8732,29.9214,0,196,0,0,0,845.7946,1245.7008,/,0,0,0,0.276876509104533,-20.2556556113488,,1.32249803572952,,氯化钙,1.0001,6.388,,,,,,,,,,,,,,,
1483,SY201,MK组,2015-08-10 00:00:00,2015-08-17 00:00:00,分离器,4547.00-4608.50,/,54.43,1.32,灰白,无,淡,不透明,无,7.6204,33.1331,137.6465,112.5238,0,0,0,0,290.9238,488.3517,27.3121,0,206,0,0,5.0293,726.6931,1017.6169,/,0,0,0,0.118923999883558,-21.3011899841855,,1.29257150702134,,氯化钙,1.0002,6.441,,,,,,,,,,,,,,,
1484,SY201,MK组,2015-09-30 00:00:00,2015-10-13 00:00:00,分离器,4547.00-4608.50,/,54.96,1.26,灰白,硫化氢,无,半透明,无,0,1,27.0209,1.8386,0,0,0,0,29.8595,1,9.6907,0,154,0,0,0,164.6907,194.5502,/,0,0,0,1.54347826086957,0.0758298002912888,,-0.0999189390953432,,硫酸钠,0.9997,6.916,,,,,,,,,,,,,,,
1485,SY201,MK组,2015-10-31 00:00:00,2015-11-10 00:00:00,分离器,4547.00-4608.50,/,48.42,1.25,乳白色,硫化氢,微咸,不透明,无,9,39,172,145,3,5,0,0,373,507,0,0,357,0,7,0,871,1244,/,0,0,0,0.134887494805169,0,,1.02250499885485,,氯化钙,1.0006,6.158,,,,,,,,,,,,,,,
1486,SY201,MK组,2015-11-30 00:00:00,2015-12-09 00:00:00,分离器,4575.00-4608.50,/,45.31,1.2,无,硫化氢,淡,透明,无,7,68,177,130,0,0,0,0,382,565,0.1,0,270,0,6,0,841.1,1223.1,/,0,0,0,0.197041268337921,0,,1.17964468053497,,氯化钙,1.0005,6.255,,,,,,,,,,,,,,,
1487,SY201,MK组,2015-12-28 00:00:00,2016-01-05 00:00:00,分离器,4575.00-4608.50,76/100,43.4,1.19,灰白,H2S味,微咸,半透明,无,9,37,146,115,0,0,0,0,307,514,8,0,183,0,4,0,709,1016,/,0,0,0,0.13,-75.84,,1.32,,氯化钙,1.0005,6.524,,,,,,,,,,,,,,,
1488,SY201,MK组,2016-01-26 00:00:00,2016-01-29 00:00:00,分离器,4575.00-4608.50,/,40.51,1.2,灰白,无,无,透明,无,8,41,134,105,0,0,0,0,288,499,141,0,220,0,5,3,868,1156,/,0,11,0,0.13,-4.18,,1.4,,氯化钙,0.9993,6.351,,,,,,,,,,,,,,,
1489,SY201,MK组,2016-02-21 00:00:00,2016-02-23 00:00:00,分离器,4575.00-4608.50,/,37.62,1.21,无,H2S味,咸,透明,无,12,91,336,295,5,0,0,0,739,1120,11,0,246,0,3,2,1382,2121,/,0,7,0,0.125407608695652,-120.404832154985,,1.12241792686851,,氯化钙,1.0003,6.206,,,,,,,,,,,,,,,
